date,S_pred,I_pred,R_pred,S_true,I_true,R_true,S_ode,I_ode,R_ode
2021-03-06,42257530.0,42137856.0,42218452.0,0.5473515065294905,0.032234008071281836,0.42041448539922766,0.5473515065294905,0.032234008071281836,0.42041448539922766
2021-03-07,38558476.0,45055996.0,38862770.0,0.5459713075525002,0.03199178690759871,0.42203690553990103,0.5429878677592013,0.031795118259236275,0.4252170139815624
2021-03-08,35378244.0,46452536.0,36629984.0,0.5444449626850736,0.03209529950141609,0.42345973781351026,0.5387199945900001,0.03132836253351274,0.42995164287648724
2021-03-09,32796976.0,46720840.0,35457524.0,0.5429024471513954,0.03223117036924184,0.4248663824793628,0.5345497917355996,0.03083592851759996,0.4346142797468004
2021-03-10,30725392.0,46668824.0,34899970.0,0.541259739558824,0.032462252493573915,0.42627800794760207,0.5304787569562022,0.030319983232528876,0.4392012598112689
2021-03-11,29110276.0,46686676.0,34708840.0,0.5395164841357607,0.03280150612552038,0.42768200973871895,0.5265080698341381,0.02978271514454495,0.4437092150213168
2021-03-12,27909248.0,46867720.0,34783936.0,0.5375654496281026,0.03346218245569927,0.428972367916198,0.5226385758201583,0.029226310771950627,0.4481351134078911
2021-03-13,27062078.0,47193828.0,35069840.0,0.5355902141809574,0.034012654297697786,0.43039713152134484,0.518870818354642,0.02865293367532079,0.4524762479700371
2021-03-14,26497048.0,47622410.0,35519416.0,0.5335520495145427,0.034619244874069484,0.43182870561138775,0.5152050407562366,0.02806471602332773,0.4567302432204356
2021-03-15,26144440.0,48115308.0,36088452.0,0.531469921643389,0.03525772783306985,0.43327235052354107,0.5116412318062504,0.02746374446934522,0.4608950237244042
2021-03-16,25944564.0,48644850.0,36737376.0,0.529068522645102,0.03642190568342098,0.434509571671477,0.5081791215427798,0.026852049315005067,0.464968829142215
2021-03-17,25850112.0,49192630.0,37432810.0,0.5266837602044464,0.03734449767651583,0.4359717421190378,0.5048182052464034,0.026231596291534286,0.4689501984620622
2021-03-18,25825344.0,49746880.0,38148024.0,0.5241148774905326,0.0384320999255487,0.4374530225839186,0.5015577576976988,0.025604280198832312,0.4728379621034688
2021-03-19,25844196.0,50300160.0,38862476.0,0.5214866063318355,0.03945477385775585,0.4390586198104086,0.4983968600439501,0.02497191436177467,0.4766312255942751
2021-03-20,25888096.0,50847800.0,39561010.0,0.5186628047964538,0.040779303050247954,0.4405578921532983,0.49533440254997657,0.024336229870396766,0.4803293675796265
2021-03-21,25944094.0,51386868.0,40232884.0,0.5158243403887398,0.04207028806340154,0.44210537154785867,0.4923691185533995,0.023698868414147818,0.48393201303245253
2021-03-22,26003364.0,51915440.0,40870920.0,0.5129349921716102,0.043361103661507944,0.4437039041668818,0.48949960517930885,0.023061370789228503,0.4874390240314625
2021-03-23,26060034.0,52432330.0,41470636.0,0.5101258450378081,0.044300340682986696,0.44557381427920517,0.48672431443765257,0.02242519384843626,0.490850491713911
2021-03-24,26110358.0,52936740.0,42029640.0,0.5069914294842031,0.04572537535220901,0.447283195163588,0.4840415885215321,0.021791694203226665,0.494166717275241
2021-03-25,26152070.0,53428190.0,42547064.0,0.5037230998065668,0.047225291472277935,0.44905160872115524,0.4814496677528544,0.0211621342950294,0.4973881979521159
2021-03-26,26183934.0,53906396.0,43023136.0,0.5002927161655656,0.0488483299778735,0.45085895385656094,0.47894670760120567,0.020537678951499192,0.5005156134472949
2021-03-27,26205452.0,54371196.0,43458870.0,0.4967570834265137,0.0505157552258261,0.4527271613476602,0.47653078920554914,0.019919399705982985,0.5035498110884676
2021-03-28,26216574.0,54822564.0,43855812.0,0.49316231636524904,0.0521935994991793,0.4546440841355716,0.47419993400136184,0.019308274264150643,0.5064917917344873
2021-03-29,26217606.0,55260520.0,44215824.0,0.4895216039431935,0.05385517992800474,0.4566232161288018,0.47195211342903765,0.018705190193354166,0.509342696377608
2021-03-30,26209048.0,55685156.0,44540972.0,0.4858774185126709,0.055446791942351324,0.45867578954497773,0.4697852610758639,0.018110946927961606,0.5121037919961743
2021-03-31,26191522.0,56096612.0,44833420.0,0.4821770974062708,0.05707436230045853,0.4607485402932707,0.4676972804383052,0.017526259534388952,0.5147764600273056
2021-04-01,26165718.0,56495052.0,45095360.0,0.47853474165825766,0.058537007110151314,0.46292825123159104,0.4656860558960508,0.016951761379860965,0.5173621827240881
2021-04-02,26132356.0,56880704.0,45328940.0,0.475023521627502,0.05982066492251504,0.46515581344998297,0.463749465878814,0.016388005293599274,0.5198625288275865
2021-04-03,26092148.0,57253780.0,45536244.0,0.47172789918576774,0.0608817113629049,0.4673903894513274,0.4618853778924906,0.015835473401805203,0.522279148705704
2021-04-04,26045798.0,57614532.0,45719300.0,0.46830974731117186,0.06233643601914275,0.4693538166696854,0.4600916658061623,0.015294576721559757,0.5246137574722777
2021-04-05,25993970.0,57963236.0,45879990.0,0.4650562160379054,0.06354885480417391,0.47139492915792064,0.4583662165063786,0.014765658864314031,0.5268681246293071
2021-04-06,25937296.0,58300160.0,46020130.0,0.4624436496540804,0.06362733632477276,0.4739290140211468,0.4567069250790819,0.014249002896922035,0.5290440720239958
2021-04-07,25876368.0,58625600.0,46141376.0,0.45982189250394667,0.0639761195531222,0.4762019879429311,0.45511171238863135,0.0137448327851045,0.5311434548262639
2021-04-08,25811726.0,58939864.0,46245316.0,0.45705179553851594,0.06446856674146696,0.4784796377200171,0.45357852359133055,0.013253318227405528,0.5331681581812638
2021-04-09,25743868.0,59243256.0,46333404.0,0.4541118769298079,0.06500641716245174,0.4808817059077404,0.4521053280404576,0.012774579089222794,0.5351200928703195
