date,susceptibles,infectives,removed,S,I,R,S_ode,I_ode,R_ode
2021-03-01,0.4000325,0.34418434,0.25635684,0.3956878103608487,0.34659741846943626,0.25771477116971503,0.3956878103608487,0.34659741846943626,0.25771477116971503
2021-03-02,0.39683366,0.3455884,0.2577666,0.39411349562281756,0.34688971025030885,0.25899679412687365,0.3918495635978579,0.34923389151783,0.25891654488431204
2021-03-03,0.39416587,0.3464849,0.2593103,0.39249171078857087,0.3472255078152932,0.26028278139613586,0.3880199666624516,0.3518526370365043,0.260127396301044
2021-03-04,0.39181453,0.34712335,0.26083502,0.3908718064613479,0.347555358912122,0.26157283462653,0.38419967956245027,0.3544530565199344,0.2613472639176152
2021-03-05,0.38972318,0.34765702,0.26238444,0.38920463533596616,0.3479501129135194,0.26284525175051443,0.3803894163878489,0.3570345045130806,0.2625760790990703
2021-03-06,0.38766333,0.34813726,0.2638606,0.3875648586237107,0.34830049711406463,0.26413464426222466,0.3765898063534011,0.35959641606189674,0.263813777584702
2021-03-07,0.38573146,0.3485648,0.26528943,0.38591905920652847,0.3486521011029495,0.265428839690522,0.37280149394964146,0.3621382153351271,0.2650602907152313
2021-03-08,0.38390687,0.34894028,0.26670384,0.3842671354353916,0.3490017737602964,0.266731090804312,0.3690251164012069,0.3646593353278989,0.26631554827089415
2021-03-09,0.38210103,0.34931797,0.26811522,0.3826095447309268,0.3493470755094267,0.26804337975964654,0.36526130018419867,0.3671592219705258,0.2675794778452754
2021-03-10,0.38023508,0.3497634,0.26952097,0.3809586882745868,0.3496724540490105,0.26936885767640273,0.36151066121618436,0.3696373335593124,0.26885200522450325
2021-03-11,0.37826544,0.3503196,0.2709142,0.3791742649950625,0.3501407511223819,0.2706849838825555,0.35777380623048805,0.372093139407696,0.2701330543618159
2021-03-12,0.37618157,0.35100093,0.27229032,0.3772586890567763,0.35075679505838525,0.2719845158848385,0.3540513308081641,0.3745261221769306,0.27142254701490526
2021-03-13,0.37399206,0.35180235,0.2736486,0.37518929272641693,0.35152205976793105,0.273288647505652,0.35034381934610836,0.3769357767989541,0.27272040385493745
2021-03-14,0.37171122,0.35271168,0.27499157,0.3729945631441654,0.35240142551174203,0.27460401134409257,0.3466518437909764,0.3793216128376168,0.2740265433714068
2021-03-15,0.36934838,0.35372058,0.27632317,0.370710585715068,0.35337832349820536,0.2759110907867267,0.3429759635130427,0.38168315473004727,0.27534088175690996
2021-03-16,0.36690235,0.35483012,0.27764663,0.36835486948424867,0.35443628658473686,0.2772088439310145,0.3393167273835642,0.3840199380381075,0.2766633345783282
2021-03-17,0.36436018,0.3560522,0.27896369,0.3657847500404905,0.35570506975595956,0.2785101802035499,0.33567467250970257,0.38633151171951596,0.2779938157707814
2021-03-18,0.36169967,0.35740766,0.28027427,0.36306253823814083,0.3571180420738238,0.27981941968803536,0.33205032375845084,0.38861743889841427,0.27933223734313484
2021-03-19,0.35889402,0.35892147,0.28157678,0.3601265077047651,0.35872241951197414,0.28115107278326074,0.328444191670602,0.39087729824614237,0.2806785100832556
2021-03-20,0.35591748,0.36061776,0.28286916,0.3570271017706565,0.3604828282085628,0.2824900700207807,0.3248567739553063,0.3931106827482378,0.28203254329645583
2021-03-21,0.35274974,0.36251453,0.2841498,0.35375862809023023,0.3624317958526454,0.28380957605712437,0.32128855652791144,0.39531719886478045,0.28339424460730805
2021-03-22,0.34937987,0.36462107,0.28541836,0.35042687788968807,0.3644511554488247,0.28512196666148715,0.3177400094893116,0.3974964696431723,0.28476352086751605
2021-03-23,0.3458078,0.3669352,0.2866762,0.3469695911391973,0.36661968499403225,0.2864107238667705,0.31421159118609104,0.3996481316069581,0.2861402772069508
2021-03-24,0.34204397,0.36944437,0.2879264,0.3433721557909398,0.368947651040126,0.28768019316893423,0.3107037460616668,0.4017718364000837,0.2875244175382494
2021-03-25,0.33810818,0.3721263,0.2891736,0.33950451191320774,0.37155413542375776,0.28894135266303456,0.30721690415451536,0.40386725102676746,0.28891584481871707
2021-03-26,0.334027,0.37495175,0.29042348,0.335437864650324,0.37435070349030797,0.29021143185936804,0.3037514815241722,0.4059340575966318,0.2903144608791959
2021-03-27,0.32983106,0.37788683,0.2916821,0.33113910183132067,0.377385892650789,0.2914750055178904,0.30030788059266383,0.4079719531251795,0.2917201662821566
2021-03-28,0.32555264,0.38089606,0.2929555,0.3267055778130503,0.38051561540758766,0.29277880677936197,0.2968864894388458,0.4099806500195385,0.2931328605416156
2021-03-29,0.321223,0.38394415,0.29424903,0.3221807221428538,0.383718068044134,0.2941012098130122,0.2934876819514024,0.41195987582375515,0.2945524422248424
2021-03-30,0.3168708,0.3869985,0.29556724,0.3176051436075363,0.3869170646137182,0.2954777917787455,0.29011181864188834,0.41390937226186747,0.2959788090962441
2021-03-31,0.31252098,0.3900301,0.29691365,0.3130068973389082,0.39009847590140667,0.29689462675968514,0.2867592447121314,0.4158288972020659,0.29741185808580267
2021-04-01,0.30819348,0.3930147,0.29829067,0.3083707868072389,0.3932721110384304,0.2983571021543307,0.283430290383593,0.41771822421435467,0.29885148540205214
2021-04-02,0.30390325,0.39593363,0.2996995,0.3037223005063742,0.39645448799188776,0.299823211501738,0.28012527086595207,0.41957714253695305,0.30029758659709466
2021-04-03,0.29965973,0.39877388,0.3011404,0.2992113453407976,0.39948088451142094,0.3013077701477815,0.2768444897541319,0.42140545408421126,0.3017500561616566
2021-04-04,0.2954667,0.40152857,0.30261293,0.2949541061498542,0.4022529551621511,0.30279293868799473,0.2735882363521465,0.42320297571601617,0.3032087879318371
2021-04-05,0.2913221,0.4041972,0.30411577,0.29079589852473064,0.4048968463881968,0.30430725508707257,0.270356784680437,0.42496954004870774,0.30467367527085504
2021-04-06,0.2872178,0.40678602,0.30564737,0.2867652604301216,0.40742099505890683,0.30581374451097154,0.26715039435475035,0.4267049946445888,0.30614461100066065
2021-04-07,0.28313884,0.40930894,0.30720547,0.2831179154089696,0.40955333755004,0.30732874704099045,0.26396931119159833,0.42840920137712557,0.3076214874312759
2021-04-08,0.27906308,0.41178778,0.308788,0.2796677440904597,0.411489192469472,0.3088430634400683,0.2608137682090457,0.4300820354160471,0.3091041963749069
2021-04-09,0.2749604,0.41425365,0.31039253,0.2760534604157617,0.41357152363868227,0.310375015945556,0.25768398374695384,0.43172338698202967,0.3105926292710163
2021-04-10,0.2707925,0.41674712,0.31201693,0.27215400039217214,0.4159208868052329,0.311925112802595,0.25458016220158963,0.4333331605877215,0.31208667721068867
2021-04-11,0.26651463,0.41931742,0.313659,0.26798717801190014,0.41851735875957735,0.31349546322852245,0.25150249417978027,0.4349112748361163,0.3135862309841032
2021-04-12,0.262079,0.42201924,0.31531686,0.2635981000312535,0.42131702712149055,0.31508487284725595,0.24845115782113839,0.43645766108431966,0.3150911810945417
2021-04-13,0.25744367,0.4249048,0.31698874,0.2590428767138528,0.42424949993887595,0.31670762334727126,0.2454263177680334,0.43797226439146403,0.31660141784050233
2021-04-14,0.25258508,0.428011,0.3186726,0.2539008589683416,0.4277448542504645,0.31835428678119393,0.2424281251465359,0.4394550434849213,0.3181168313685426
2021-04-15,0.24751456,0.43134227,0.32036656,0.2483346852399974,0.43163013423460644,0.3200351805253961,0.2394567179208155,0.44090597036387497,0.3196373117153093
2021-04-16,0.24229036,0.43485504,0.32206827,0.24285079640006108,0.43533219184524025,0.32181701175469873,0.2365122215623405,0.44232502961011344,0.32116274882754586
2021-04-17,0.23701769,0.43845364,0.32377502,0.23743534276842665,0.43891227062191573,0.3236523866096576,0.23359474947828263,0.44371221792718624,0.3226930325945309
2021-04-18,0.23183012,0.4420056,0.3254839,0.23204685154154842,0.44237082798526034,0.3255823204731913,0.2307044023008369,0.4450675447598365,0.3242280529393264
2021-04-19,0.22685707,0.44537312,0.32719204,0.2268225234953723,0.44559294970878244,0.3275845267958452,0.22784126821898773,0.44639103192480667,0.32576769985620535
2021-04-20,0.22219342,0.4484469,0.32889712,0.22176103719253065,0.4485504281871292,0.32968853462034015,0.22500542335958304,0.4476827131980684,0.32731186344234836
2021-04-21,0.2178841,0.45116702,0.33059767,0.21663157310201425,0.45148168121617493,0.3318867456818108,0.2221969328658845,0.4489426332691501,0.32886043386496516
2021-04-22,0.21392728,0.45352328,0.3322927,0.21158787537912482,0.4542367256546651,0.33417539896621007,0.21941585004063976,0.4501708484652523,0.33041330149410775
2021-04-23,0.21028946,0.45554283,0.33398202,0.2064765556401597,0.457040002557083,0.3364834418027573,0.21666221665872504,0.45136742640529276,0.33197035693598204
2021-04-24,0.20692204,0.45727214,0.33566564,0.20142403986406526,0.45974661123358895,0.3388293489023458,0.21393606335733528,0.4525324455826402,0.3335314910600243
2021-04-25,0.20377435,0.4587635,0.33734375,0.19643045511212692,0.4623562975616122,0.34121324732626085,0.21123740988347567,0.45366599507797106,0.3350965950385531
2021-04-26,0.20080078,0.46006554,0.33901677,0.19148207876552453,0.46485167955731366,0.3436662416771618,0.20856626538663853,0.45476817424069094,0.33666556037267037
2021-04-27,0.19796365,0.46121988,0.3406849,0.18650986572178607,0.4673252578364451,0.34616487644176885,0.20592262887570117,0.45583909227164765,0.33823827885265106
2021-04-28,0.19523366,0.46225974,0.3423485,0.181734623082633,0.4695397327424435,0.34872564417492347,0.20330648929373912,0.45687886801588656,0.3398146426903742
2021-04-29,0.19258866,0.46321055,0.34400773,0.1772368822907352,0.4714422467805936,0.35132087092867115,0.20071782588649958,0.4578876295835428,0.3413945445299575
2021-04-30,0.19001228,0.4640916,0.345663,0.1729811932474733,0.47302400730994754,0.35399479944257917,0.19815660856237768,0.45886551396963776,0.3429778774679844
2021-05-01,0.18749265,0.46491715,0.34731457,0.1690555840113539,0.4741721330845799,0.35677228290406626,0.19562279824696127,0.4598126666710478,0.3445645350819908
2021-05-02,0.18502116,0.46569744,0.3489626,0.1653318751576926,0.47504265536292883,0.3596254694793786,0.19311634674664538,0.46072924178323876,0.3461544114701158
2021-05-03,0.18259169,0.4664401,0.35060737,0.1618010453352276,0.4756670345192528,0.36253192014551955,0.19063719523264877,0.4616154034435652,0.34774740132378595
2021-05-04,0.18019965,0.46715063,0.3522492,0.15851241973494135,0.4759819432089216,0.36550563705613703,0.18818527735766188,0.46247132275685127,0.34934339988548674
2021-05-05,0.1778418,0.46783274,0.35388827,0.15546056013381931,0.47603663038614635,0.3685028094800344,0.18576051874028,0.4632971782647222,0.3509423029949977
2021-05-06,0.17551574,0.46848938,0.3555249,0.1526331924116947,0.4757837784282536,0.3715830291600517,0.18336283709623327,0.46409315578497096,0.3525440071187957
2021-05-07,0.17321958,0.46912238,0.35715935,0.1501058417965933,0.4752279107170029,0.3746662474864038,0.18099214254515705,0.46485944808061946,0.3541484093742234
2021-05-08,0.17095202,0.46973318,0.3587919,0.14778318691222808,0.4744278312152649,0.37778898187250703,0.17864833757952392,0.4655962548603508,0.3557554075601252
2021-05-09,0.1687119,0.47032264,0.36042273,0.1456512510172081,0.4734310100192551,0.38091773896353676,0.1763313166031885,0.46630378320083377,0.35736490019597766
2021-05-10,0.16649841,0.47089124,0.3620523,0.14365023907063668,0.4722860861890141,0.3840636747403492,0.1740409675739553,0.46698224591205184,0.3589767865139928
2021-05-11,0.16431078,0.47143942,0.36368063,0.14170396512580397,0.47110329809573204,0.387192736778464,0.17177717179489635,0.4676318617142599,0.36059096649084366
2021-05-12,0.1621485,0.47196707,0.36530823,0.1399427432369889,0.46970923249713137,0.3903480242658797,0.1695398041399183,0.46825285499113856,0.3622073408689431
2021-05-13,0.160011,0.47247434,0.36693525,0.13840093077575633,0.46810678639051856,0.39349228283372506,0.1673287333282515,0.4688454554960321,0.36382581117571633
2021-05-14,0.15789786,0.47296098,0.36856198,0.13721778691087516,0.4661503475428561,0.3966318655462687,0.16514382197983932,0.46940989827793633,0.36544627974222427
2021-05-15,0.15580876,0.47342676,0.37018865,0.13633661689681204,0.4639859347832947,0.3996774483198933,0.1629849266187787,0.4699464236603313,0.36706864972088993
2021-05-16,0.15374336,0.4738714,0.37181556,0.1356131553501539,0.46171733176972735,0.4026695128801187,0.16085189854412765,0.4704552763548932,0.3686928251009791
2021-05-17,0.15170136,0.4742945,0.37344286,0.13492631286594065,0.45945223564763626,0.4056214514864231,0.15874458383149034,0.47093670544412414,0.3703187107243855
2021-05-18,0.14968255,0.4746958,0.3750709,0.13431031975445124,0.457142820549207,0.4085468596963418,0.15666282357400332,0.47139096412590464,0.37194621230009195
2021-05-19,0.1476867,0.47507477,0.37669984,0.13380962205330965,0.454799454675326,0.41139092327136434,0.15460645413294596,0.4718183094494082,0.37357523641764573
2021-05-20,0.14571369,0.47543105,0.37832993,0.1335704673019802,0.45219327523877906,0.41423625745924075,0.15257530717988535,0.47221900225632685,0.3752056905637878
2021-05-21,0.14376333,0.4757641,0.37996134,0.1334094298288982,0.44956132777355845,0.4170292423975434,0.15056920984278607,0.4725933070211742,0.37683748313603976
2021-05-22,0.1418355,0.47607353,0.38159427,0.13329629446040187,0.44687484560465557,0.4198288599349425,0.14858798532579326,0.4729414912282913,0.3784705234459154
2021-05-23,0.13993011,0.47635907,0.3832289,0.1332430049573164,0.44415944428720183,0.4225975507554817,0.14663145295607527,0.47326382531140926,0.38010472173251547
2021-05-24,0.13804717,0.47662014,0.3848654,0.13327868376624918,0.44140485726933903,0.42531645896441184,0.14469942840635402,0.47356058242198806,0.38173998917165786
2021-05-25,0.13618654,0.4768563,0.38650393,0.13339214949408734,0.4386114911471803,0.4279963593587323,0.14279172391703726,0.4738320381989274,0.38337623788403546
2021-05-26,0.13434827,0.47706738,0.38814455,0.13398468709229694,0.4352876187463313,0.4307276941613718,0.14090814833368395,0.4740784707103266,0.3850133809559895
2021-05-27,0.13253231,0.47725293,0.38978747,0.13486969435717833,0.43168299172932173,0.4334473139135,0.13904850733678212,0.47430016021831156,0.3866513324449064
2021-05-28,0.13073866,0.47741264,0.3914327,0.13581175213919233,0.42803485892820037,0.4361533889326073,0.13721260385229422,0.47449738877761327,0.38829000737009256
2021-05-29,0.12896743,0.47754624,0.3930803,0.13683421430259046,0.4243100827597419,0.4388557029376676,0.13540023813853316,0.47467044013487825,0.3899293217265887
2021-05-30,0.12721862,0.47765356,0.3947303,0.13806378636114713,0.42031654656046197,0.44161966707839095,0.13361120798069342,0.47481959952941494,0.3915691924898917
2021-05-31,0.12549226,0.47773433,0.39638272,0.1394101023287045,0.4161253030011413,0.44446459467015415,0.1318453088804671,0.4749451534995095,0.3932095376200235
2021-06-01,0.12378846,0.47778866,0.39803746,0.14087351797686193,0.41170626396940363,0.4474202180537345,0.13010233404787672,0.47504738986338624,0.3948502760887372
2021-06-02,0.12210731,0.4778162,0.3996946,0.14221312510855166,0.4074184030086852,0.4503684718827632,0.12838207471580293,0.47512659741854063,0.39649132786565655
2021-06-03,0.12044887,0.47781718,0.4013539,0.14356902149702616,0.40318299294656884,0.45324798555640494,0.1266843204349513,0.47518306565948093,0.3981326139055679
2021-06-04,0.11881324,0.47779158,0.40301526,0.14513855873072734,0.39873452652113867,0.45612691474813405,0.12500885915224666,0.4752170846865857,0.39977405616116773
2021-06-05,0.11720057,0.47773945,0.4046785,0.1468563002476877,0.3941488339075055,0.45899486584480687,0.12335547737850758,0.4752289450379554,0.40141557758353713
2021-06-06,0.115610905,0.47766116,0.40634343,0.14861612446236366,0.3895507401124199,0.4618331354252165,0.12172396035241449,0.475218937525773,0.40305710212181267
2021-06-07,0.114044435,0.4775568,0.4080097,0.15032824987051052,0.385091803837075,0.4645799462924145,0.1201140922007723,0.47518735307717325,0.40469855472205457
2021-06-08,0.112501174,0.4774269,0.40967706,0.15190131940794505,0.3809405083458756,0.4671581722461793,0.11852565605954876,0.47513448260848906,0.40633986133196226
2021-06-09,0.11098133,0.47727168,0.41134524,0.1534530680616939,0.3769163757890779,0.4696305561492282,0.11695843381778129,0.47506061720751336,0.40798094897470544
2021-06-10,0.10948496,0.47709176,0.41301367,0.15524481007125562,0.3724861045397132,0.4722690853890312,0.11541220676811402,0.47496604758038213,0.4096217456515039
2021-06-11,0.108012185,0.47688764,0.41468197,0.15704625956301993,0.36807326609870167,0.47488047433827846,0.11388675569612336,0.4748510639560866,0.4112621803477901
2021-06-12,0.10656311,0.47665995,0.41634974,0.15889502667745703,0.3635852582012635,0.47751971512127944,0.11238186092163278,0.47471595603150357,0.4129021830468637
2021-06-13,0.10513783,0.47640944,0.41801634,0.16071960132315932,0.35919396935425124,0.4800864293225895,0.11089730242408856,0.4745610128496012,0.4145416847263103
2021-06-14,0.10373644,0.47613686,0.41968116,0.16257878746299703,0.3547623258430045,0.4826588866939985,0.10943285996354005,0.474386522682714,0.41618061735374606
2021-06-15,0.102359004,0.47584307,0.42134362,0.16457456448461122,0.3500855557000158,0.485339879815373,0.1079883131972245,0.4741927729208873,0.4178189138818883
2021-06-16,0.10100559,0.47552887,0.42300317,0.16668299404183706,0.34527491378675784,0.48804209217140504,0.10656344177997608,0.4739800499557606,0.41945650826426345
2021-06-17,0.0996763,0.47519532,0.42465898,0.16865483271728704,0.3408318347598274,0.4905133325228856,0.10515802543674958,0.4737486390505158,0.4210933355127347
2021-06-18,0.09837113,0.47484338,0.42631027,0.17072514388890087,0.33626113537786834,0.49301372073323074,0.10377184412975592,0.47349882429499607,0.4227293315752481
2021-06-19,0.097090125,0.47447413,0.42795646,0.17278269810746333,0.3317567619868739,0.4954605399056627,0.10240467813443788,0.4732308884956982,0.42436443336986396
2021-06-20,0.09583327,0.4740887,0.42959654,0.17486790086172316,0.3272299749851397,0.4979021241531371,0.10105630812926374,0.4729451130855698,0.4259985787851665
2021-06-21,0.09460059,0.47368816,0.4312299,0.1769151377039132,0.32278943718391695,0.5002954251121698,0.0997265152845472,0.4726417780416441,0.4276317066738088
2021-06-22,0.09339206,0.47327366,0.43285558,0.1788415392637135,0.3186005823767613,0.5025578783595253,0.09841508134679725,0.4723211618076839,0.4292637568455189
2021-06-23,0.092207596,0.47284645,0.4344728,0.1807648151158936,0.3144402909465576,0.5047948939375488,0.09712178871859752,0.4719835412218347,0.43089467005956783
2021-06-24,0.091047175,0.47240767,0.4360806,0.1827240238995771,0.3102244991469029,0.5070514769535199,0.09584642061477164,0.4716291913257843,0.43252438805944415
2021-06-25,0.08991067,0.47195855,0.43767825,0.18466280122857293,0.30606491925989726,0.5092722795115299,0.09458876116253404,0.47125838525775937,0.43415285357970673
2021-06-26,0.08879801,0.47150025,0.43926486,0.18661959584783439,0.3018955302416609,0.5114848739105048,0.09334859530283739,0.4708713944477275,0.4357800102494352
2021-06-27,0.08770905,0.47103408,0.4408395,0.18860744424524112,0.29767948431943536,0.5137130714353235,0.09212570893971365,0.47046848843151107,0.4374058026287754
2021-06-28,0.086643636,0.47056115,0.44240147,0.19061440265996799,0.2934316730758666,0.5159539242641654,0.09091988900328161,0.47004993479510443,0.43903017620161405
2021-06-29,0.08560157,0.4700827,0.44394985,0.19269315070093074,0.2890428746300477,0.5182639746690215,0.08973092350742366,0.46961599912531626,0.44065307736726017
2021-06-30,0.084582716,0.4695998,0.4454839,0.19483997817859655,0.28452848880976594,0.5206315330116376,0.08855860160323727,0.4691669449650461,0.4422744534317168
2021-07-01,0.083586834,0.46911368,0.44700274,0.19699244717733289,0.28000871559098434,0.5229988372316828,0.08740271363206358,0.46870303376848166,0.44389425259945486
